City,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Date
Emerald,-23.5333,148.1667,89.35,40,57,21.88,AU,1642659418
Puerto Ayora,-0.7393,-90.3518,72.45,93,62,6.4,EC,1642659418
Port Alfred,-33.5906,26.891,74.55,69,7,11.23,ZA,1642659418
Hithadhoo,-0.6,73.0833,81.72,73,99,6.85,MV,1642659419
Pevek,69.7008,170.3133,-38.96,97,43,3.4,RU,1642659138
Murray Bridge,-35.1167,139.2667,98.31,14,0,17.16,AU,1642659419
Yulara,-25.2406,130.9889,93.04,36,75,12.66,AU,1642659420
Punta Arenas,-53.15,-70.9167,41.11,81,0,1.52,CL,1642659420
Tiksi,71.6872,128.8694,-6.65,88,100,12.44,RU,1642659421
Baffa,34.4378,73.2194,52.14,65,90,2.1,PK,1642659421
Charters Towers,-20.1,146.2667,94.96,32,100,25.3,AU,1642659422
Pochutla,15.7432,-96.4661,71.82,74,75,3.65,MX,1642659422
Beringovskiy,63.05,179.3167,-22.52,91,6,8.16,RU,1642659139
Hirara,24.8,125.2833,69.66,56,40,18.41,JP,1642659423
Puerto del Rosario,28.5004,-13.8627,65.88,42,0,4.61,ES,1642659423
Okhotsk,59.3833,143.3,-3.95,76,10,8.75,RU,1642659424
Anloga,5.7947,0.8973,79.63,59,97,9.42,GH,1642659379
Kiryat Gat,31.61,34.7642,44.4,100,91,3.74,IL,1642659424
Norman Wells,65.282,-126.8329,-30.96,68,75,3.44,CA,1642659425
East London,-33.0153,27.9116,76.14,69,0,6.91,ZA,1642659425
Codrington,-38.2667,141.9667,78.58,41,0,18.32,AU,1642659426
Itarema,-2.9248,-39.9167,76.21,89,9,7.56,BR,1642659391
Guerrero Negro,27.9769,-114.0611,60.6,87,56,7.85,MX,1642659426
Jiuquan,39.7432,98.5174,33.75,23,66,3.15,CN,1642659427
Lachhmangarh,27.8214,75.0251,67.26,34,57,1.07,IN,1642659427
Beidao,34.5686,105.8933,44.96,71,89,9.82,CN,1642659428
Castro,-24.7911,-50.0119,62.94,95,6,4.12,BR,1642659428
Ishinomaki,38.4167,141.3,42.8,53,69,10.38,JP,1642659429
Cocorit,27.5833,-109.9667,62.44,66,89,1.88,MX,1642659429
Saint-Joseph,-21.3667,55.6167,86.36,82,61,4.09,RE,1642659430
Xining,36.6167,101.7667,37.76,17,82,3.42,CN,1642659301
Kattivākkam,13.2167,80.3167,84.29,67,54,3.15,IN,1642659430
Thompson,55.7435,-97.8558,-23.64,76,0,8.05,CA,1642659431
Arlit,18.7369,7.3853,49.55,34,1,1.99,NE,1642659431
Colares,38.7992,-9.4469,49.33,66,4,1.99,PT,1642659432
Quatre Cocos,-20.2078,57.7625,87.91,73,96,12.15,MU,1642659432
Tura,25.5198,90.2201,69.91,50,15,3.47,IN,1642659433
Três Passos,-27.4556,-53.9319,74.39,62,21,5.61,BR,1642659433
Dickinson,29.4608,-95.0513,62.02,91,100,3.0,US,1642659434
Bredasdorp,-34.5322,20.0403,70.29,64,77,3.44,ZA,1642659434
Maïné Soroa,13.2114,12.0241,51.73,41,1,10.42,NE,1642659435
Sangar,63.9242,127.4739,-32.44,96,50,5.23,RU,1642659435
Chui,-33.6971,-53.4616,73.49,98,47,6.06,UY,1642659436
Provideniya,64.3833,-173.3,-10.17,86,1,6.15,RU,1642659336
Isla Mujeres,21.2311,-86.731,73.45,70,37,13.29,MX,1642659437
Chapais,49.7834,-74.8492,-9.62,92,100,11.72,CA,1642659438
Saldanha,-33.0117,17.9442,65.86,79,4,11.48,ZA,1642659438
Tuktoyaktuk,69.4541,-133.0374,-25.6,75,75,10.36,CA,1642659438
Hobart,-42.8794,147.3294,75.27,54,0,1.01,AU,1642659201
Novosheshminsk,55.0651,51.2338,17.6,96,98,9.24,RU,1642659439
Cape Town,-33.9258,18.4232,68.11,80,0,1.14,ZA,1642659406
Viedma,-40.8135,-62.9967,66.56,88,99,10.33,AR,1642659440
Nabire,-3.3667,135.4833,84.09,74,100,4.38,ID,1642659440
Bundaberg,-24.85,152.35,82.22,71,40,5.01,AU,1642659441
Nuuk,64.1835,-51.7216,23.5,96,100,9.8,GL,1642659441
Lixouri,38.2019,20.4314,46.4,81,40,5.75,GR,1642659442
Oistins,13.0667,-59.5333,77.09,73,40,16.11,BB,1642659255
Margate,51.3813,1.3862,37.87,87,13,22.68,GB,1642659442
Imbituba,-28.24,-48.6703,81.82,95,24,7.2,BR,1642659442
Hamilton,39.1834,-84.5333,27.72,70,100,1.01,US,1642659443
Sawākin,19.1059,37.3321,67.86,56,30,18.37,SD,1642659443
Brigantine,39.4101,-74.3646,48.4,63,100,8.05,US,1642659169
Tsimmerbude,54.675,20.1347,33.96,92,91,22.84,RU,1642659444
Egvekinot,66.3167,-179.1667,-15.97,74,0,9.42,RU,1642659445
Cuaspud,0.8628,-77.7263,48.09,96,96,4.72,CO,1642659445
Isiro,2.7739,27.616,69.26,55,82,3.56,CD,1642659445
São Filipe,14.8961,-24.4956,72.09,80,57,7.0,CV,1642659446
Preobrazheniye,42.9019,133.9064,19.71,38,7,6.82,RU,1642659446
Caravelas,-17.7125,-39.2481,75.88,85,23,4.32,BR,1642659447
Yangi Marg`ilon,40.4272,71.7189,44.02,70,7,6.91,UZ,1642659411
Isangel,-19.55,169.2667,82.51,78,49,3.44,VU,1642659447
Qaanaaq,77.484,-69.3632,-9.31,61,2,9.01,GL,1642659448
Wittlich,49.9833,6.8833,39.31,91,0,6.91,DE,1642659448
Mayma,52.0197,85.9114,14.97,91,100,2.28,RU,1642659448
Bambous Virieux,-20.3428,57.7575,88.05,66,75,11.5,MU,1642659449
Atambua,-9.1061,124.8925,74.66,92,100,5.06,ID,1642659449
Eyl,7.9803,49.8164,80.58,57,70,15.75,SO,1642659328
Wuwei,37.9281,102.6414,37.58,21,0,6.2,CN,1642659450
Storforshei,66.4043,14.5233,26.38,74,75,12.66,NO,1642659450
Afşin,38.2477,36.914,10.31,78,10,4.85,TR,1642659451
Coquimbo,-29.9533,-71.3436,63.82,69,0,5.1,CL,1642659451
Vila,42.0304,-8.1588,32.88,69,0,4.72,PT,1642659452
Butaritari,3.0707,172.7902,82.36,77,99,14.74,KI,1642659452
Dikson,73.5069,80.5464,-4.11,97,100,15.12,RU,1642659453
Port Elizabeth,-33.918,25.5701,77.09,78,20,8.05,ZA,1642659453
Pozo Colorado,-23.4923,-58.7972,84.42,42,34,5.26,PY,1642659454
Eyrarbakki,63.863,-21.1481,35.65,92,100,3.74,IS,1642659454
Kananga,-5.8958,22.4178,70.36,91,96,0.63,CD,1642659454
Saskylakh,71.9167,114.0833,-17.28,94,85,6.76,RU,1642659455
Russell,32.3502,-85.1999,55.11,78,90,0.0,US,1642659326
Saint Paul Harbor,57.79,-152.4072,29.71,80,0,3.44,US,1642659334
Mehamn,71.0357,27.8492,30.38,77,81,14.61,NO,1642659456
Pueblo Nuevo,23.3833,-105.3833,49.32,48,100,5.17,MX,1642659457
Chern',53.4523,36.9145,16.88,95,100,13.69,RU,1642659458
Batagay,67.6333,134.6333,-37.19,93,37,2.53,RU,1642659458
Torbay,47.6666,-52.7314,28.58,74,75,28.77,CA,1642659459
Fuxin,42.0156,121.6589,17.85,27,0,0.89,CN,1642659459
Lexington,37.9887,-84.4777,32.0,86,100,13.8,US,1642659248
Bongandanga,1.5,21.05,71.47,83,69,2.13,CD,1642659460
Turan,16.0678,108.2208,78.78,69,20,5.75,VN,1642659460
Beloha,-25.1667,45.05,78.24,58,45,14.16,MG,1642659461
Banikoara,11.2985,2.4386,61.23,23,1,6.76,BJ,1642659461
Ust-Nera,64.5667,143.2,-34.2,90,12,4.34,RU,1642659462
Misratah,32.3754,15.0925,53.55,66,19,8.75,LY,1642659462
Poplar Bluff,36.757,-90.3929,27.99,58,0,19.57,US,1642658979
Aswān,24.0934,32.907,50.43,62,0,11.34,EG,1642659463
Mar del Plata,-38.0023,-57.5575,71.1,90,75,1.99,AR,1642659463
Mandera,3.9366,41.867,83.32,48,0,13.51,KE,1642659464
Upernavik,72.7868,-56.1549,26.91,79,100,2.77,GL,1642659464
Newport,51.5877,-2.9984,43.86,84,6,6.85,GB,1642659465
Geraldton,-28.7667,114.6,102.61,15,0,19.57,AU,1642659465
Pisco,-13.7,-76.2167,70.02,83,0,12.66,PE,1642659466
Gamba,-2.65,10.0,75.83,88,100,2.13,GA,1642659466
Ilulissat,69.2167,-51.1,41.02,60,100,16.11,GL,1642659467
Saint-Louis,16.3333,-15.0,71.56,12,29,9.24,SN,1642659467
Shāhpura,27.3833,75.9667,63.73,40,48,2.51,IN,1642659468
Mount Gambier,-37.8333,140.7667,84.74,34,0,11.54,AU,1642659468
Tuatapere,-46.1333,167.6833,55.81,77,100,11.05,NZ,1642659468
Tlučná,49.7243,13.2353,36.41,89,100,8.01,CZ,1642659469
Talnakh,69.4865,88.3972,2.21,96,100,10.04,RU,1642659469
Dunedin,-45.8742,170.5036,58.8,60,98,3.0,NZ,1642659470
Gremyachinsk,58.5603,57.851,22.6,94,100,9.62,RU,1642659470
Ostrovnoy,68.0531,39.5131,32.05,95,100,22.5,RU,1642659335
Dalvik,65.9702,-18.5286,40.93,85,76,15.35,IS,1642659471
Lebu,-37.6167,-73.65,51.58,86,3,4.03,CL,1642659471
Chengde,40.9725,117.9361,24.06,42,5,1.39,CN,1642659472
Ankazoabo,-22.2833,44.5167,77.74,71,98,3.47,MG,1642659472
North Bend,43.4065,-124.2243,52.25,100,100,3.44,US,1642659473
San Miguel,13.4833,-88.1833,76.66,78,0,2.3,SV,1642659473
Puerto Quijarro,-17.7833,-57.7667,73.45,93,50,1.12,BO,1642659473
Leer,8.3018,30.1418,71.17,20,59,11.12,SS,1642659474
Morondava,-20.2833,44.2833,80.8,74,95,8.5,MG,1642659475
Wanning,18.8003,110.3967,71.69,72,89,11.23,CN,1642659475
Lüderitz,-26.6481,15.1594,70.11,75,96,1.14,NA,1642659476
Saint-Philippe,-21.3585,55.7679,87.35,82,68,3.2,RE,1642659476
Oriximiná,-1.7656,-55.8661,73.56,90,59,4.92,BR,1642659477
Along,28.1667,94.7667,70.95,25,62,1.77,IN,1642659477
Hasaki,35.7333,140.8333,46.8,62,35,19.01,JP,1642659178
Tāybād,34.74,60.7756,44.89,28,0,3.98,IR,1642659478
Muhos,64.808,25.9931,29.98,84,100,10.02,FI,1642659478
Jalingo,8.8833,11.3667,64.08,25,63,5.3,NG,1642659479
Ambon City,-3.6954,128.1814,86.14,70,40,9.22,ID,1642659479
Fukuechō,32.6881,128.8419,44.96,65,75,9.22,JP,1642659481
Marfino,55.7028,37.3822,25.05,92,100,13.42,RU,1642659481
Arraial do Cabo,-22.9661,-42.0278,75.42,91,0,15.37,BR,1642659482
Atar,20.5169,-13.0499,65.26,14,2,7.61,MR,1642659482
Venado Tuerto,-33.7456,-61.9688,71.78,93,88,6.06,AR,1642659482
Tsaratanana,-16.7833,47.65,72.09,97,100,3.69,MG,1642659483
Severo-Yeniseyskiy,60.3725,93.0408,10.89,92,100,6.96,RU,1642659483
Chake Chake,-5.2459,39.7666,82.53,77,100,8.21,TZ,1642659484
Souillac,-20.5167,57.5167,88.18,66,75,11.5,MU,1642659484
Asău,46.4333,26.4,20.32,78,30,9.1,RO,1642659485
Galle,6.0367,80.217,82.0,65,99,5.26,LK,1642659485
Kwinana,-32.25,115.7667,107.31,41,0,17.05,AU,1642659486
Karoi,-16.8099,29.6925,67.17,87,41,4.94,ZW,1642659486
Arman',59.7,150.1667,-2.25,78,4,7.11,RU,1642659486
Maraã,-1.8333,-65.3667,72.43,98,89,2.89,BR,1642659487
Mahabalipuram,12.6264,80.1722,84.25,59,46,4.14,IN,1642659487
Lagoa,39.05,-27.9833,60.96,85,23,15.7,PT,1642659488
Sitka,57.0531,-135.33,39.09,93,100,5.75,US,1642659488
Taoudenni,22.6783,-3.9836,57.43,21,1,7.74,ML,1642659489
Sahuaripa,29.05,-109.2333,57.18,54,18,4.59,MX,1642659489
Ulaangom,49.9811,92.0667,-1.52,92,76,2.01,MN,1642659489
Jutaí,-5.1833,-68.9,72.21,99,98,0.74,BR,1642659490
Algarrobo,10.1869,-74.5753,77.04,73,7,4.21,CO,1642659490
Cofradía,15.4,-88.15,75.92,95,51,1.92,HN,1642659491
São João da Barra,-21.6403,-41.0511,75.54,90,0,9.55,BR,1642659491
Sol'-Iletsk,51.1631,54.9918,4.87,90,100,6.93,RU,1642659492
Iqaluit,63.7506,-68.5145,-22.27,76,40,2.3,CA,1642659492
Coahuayana Viejo,18.7333,-103.6833,70.03,89,39,3.78,MX,1642659492
Ponta do Sol,32.6667,-17.1,67.12,48,100,17.69,PT,1642659493
Saint George,37.1041,-113.5841,46.94,50,0,1.01,US,1642659307
Alice Springs,-23.7,133.8833,94.55,31,69,8.05,AU,1642659263
Port-Cartier,50.0334,-66.8654,2.75,97,100,9.17,CA,1642659274
Vanavara,60.34,102.2797,11.52,92,100,7.05,RU,1642659494
Makīnsk,52.6292,70.4169,7.05,92,85,5.48,KZ,1642659494
Strezhevoy,60.7333,77.5889,21.18,96,74,7.49,RU,1642659495
Verkh-Usugli,52.7,115.1667,-0.56,83,100,1.97,RU,1642659495
Berëzovka,53.7214,25.4993,31.41,85,100,17.47,BY,1642659496
George Town,5.4112,100.3354,89.55,62,20,5.75,MY,1642659309
Nome,64.5011,-165.4064,-11.13,64,0,9.22,US,1642659497
Nueva Gerona,21.8833,-82.8,73.67,77,20,10.4,CU,1642659497
Puri,19.8,85.85,77.52,62,3,3.94,IN,1642659498
Padang,-0.9492,100.3543,87.85,61,67,4.94,ID,1642659498
Kavieng,-2.5744,150.7967,78.8,85,100,14.7,PG,1642659498
Hearst,49.6835,-83.6665,-18.15,94,100,7.65,CA,1642659499
Thinadhoo,0.5333,72.9333,81.05,76,99,8.25,MV,1642659499
Gold Coast,-28.0,153.4333,75.38,91,75,5.01,AU,1642659245
Cairns,-16.9167,145.7667,88.11,66,100,14.97,AU,1642659500
Kaitangata,-46.2817,169.8464,55.92,76,100,13.22,NZ,1642659500
Wajid,3.8093,43.2471,81.23,52,2,18.61,SO,1642659501
Peace River,56.2501,-117.286,-1.89,84,100,12.66,CA,1642659501
Majene,-3.5403,118.9707,80.6,81,98,7.23,ID,1642659503
Aklavik,68.2191,-135.0107,-21.28,97,100,6.11,CA,1642659503
Marshall,34.3834,-86.3333,55.11,83,100,1.99,US,1642659503
Bilibino,68.0546,166.4372,-31.9,89,5,3.24,RU,1642659504
Krasnosel'kup,65.7,82.4667,7.97,94,98,12.77,RU,1642659504
Vao,-22.6667,167.4833,77.31,85,74,19.33,NC,1642659505
Homer,59.6425,-151.5483,26.47,86,40,3.44,US,1642659505
Gander,48.9682,-54.5906,17.73,72,20,18.01,CA,1642659497
Bontang,0.1333,117.5,81.61,79,76,3.27,ID,1642659506
Rio Brilhante,-21.8019,-54.5464,72.07,79,16,5.46,BR,1642659506
Linxia Chengguanzhen,35.6003,103.2064,40.82,29,87,4.36,CN,1642659506
Panambi,-28.2925,-53.5017,77.63,62,21,6.33,BR,1642659507
Port Hawkesbury,45.6169,-61.3485,38.91,95,100,3.0,CA,1642659507
Nanortalik,60.1432,-45.2371,34.29,90,100,15.5,GL,1642659508
Saint Anthony,45.0205,-93.218,-2.07,70,0,5.01,US,1642659309
Waingapu,-9.6567,120.2641,83.62,70,94,10.09,ID,1642659508
Batticaloa,7.7102,81.6924,80.22,62,90,11.7,LK,1642659472
Saint-Pierre,-21.3393,55.4781,87.44,79,0,6.91,RE,1642659509
Necochea,-38.5473,-58.7368,64.04,87,26,9.86,AR,1642659510
Qaqortoq,60.7167,-46.0333,39.7,93,100,6.62,GL,1642659510
Kabansk,52.0486,106.6528,12.69,87,95,2.44,RU,1642659511
Batagay-Alyta,67.8006,130.4114,-22.29,79,28,4.41,RU,1642659511
Soe,-9.8607,124.284,66.92,97,100,1.74,ID,1642659511
San Cristobal,7.7669,-72.225,65.5,77,37,2.91,VE,1642659512
Cap-aux-Meules,47.3821,-61.8597,30.22,100,100,12.66,CA,1642659512
Hualmay,-11.0964,-77.6139,71.98,82,89,8.01,PE,1642659513
Avera,33.194,-82.5271,51.71,72,100,7.54,US,1642659513
Bull Savanna,17.8868,-77.5902,71.1,86,11,9.48,JM,1642659514
College,64.8569,-147.8028,12.15,81,100,9.22,US,1642659449
Port Blair,11.6667,92.75,82.44,74,40,11.5,IN,1642659514
São José da Coroa Grande,-8.8978,-35.1478,78.37,81,30,3.89,BR,1642659515
Grindavik,63.8424,-22.4338,39.67,100,100,13.8,IS,1642659515
Santa Catarina de Tepehuanes,25.35,-105.7333,48.85,66,100,5.41,MX,1642659515
Thunder Bay,48.4001,-89.3168,-9.44,68,0,11.5,CA,1642659509
Puerto Santander,8.3636,-72.4063,72.93,88,65,1.59,CO,1642659516
Esperance,-33.8667,121.9,74.93,54,0,18.63,AU,1642659517
Inderka,53.2485,46.2582,15.78,97,100,4.21,RU,1642659517
Amposta,40.7131,0.581,47.53,79,23,6.85,ES,1642659518
Moïssala,8.3404,17.7663,65.41,21,93,3.8,TD,1642659518
Awjilah,29.1081,21.2869,48.54,69,2,1.77,LY,1642659518
Savannakhet,16.566,104.751,82.42,47,40,4.61,LA,1642659519
Vestmanna,62.1564,-7.1664,32.92,69,75,4.61,FO,1642659519
Pandan,14.0453,124.1694,75.29,92,100,12.3,PH,1642659520
Tazovsky,67.4667,78.7,-4.85,98,97,9.01,RU,1642659520
Hong Kong,22.2855,114.1577,68.38,69,24,3.0,HK,1642659521
Tinskoy,56.1525,96.9161,14.38,92,94,0.65,RU,1642659521
Bairiki Village,1.3292,172.9752,84.2,74,20,10.36,KI,1642659522
Boende,-0.2167,20.8667,74.28,76,97,0.38,CD,1642659522
Lamar,33.6668,-95.5836,37.06,55,100,16.11,US,1642659523
Eisenerz,47.5333,14.8833,29.44,98,68,4.12,AT,1642659523
Kupang,-10.1667,123.5833,75.78,100,75,9.22,ID,1642659525
Westport,41.1415,-73.3579,46.15,73,75,3.0,US,1642659525
Salalah,17.0151,54.0924,78.89,65,0,4.61,OM,1642659526
Yamada,39.4667,141.95,37.15,55,99,5.91,JP,1642659526
Ayagoz,47.9714,80.4392,2.89,95,92,10.42,KZ,1642659527
Tocopilla,-22.092,-70.1979,69.37,80,25,6.89,CL,1642659527
Rundu,-17.9333,19.7667,68.47,82,94,6.71,NA,1642659528
Naze,28.3667,129.4833,58.12,66,93,14.56,JP,1642659528
Barra de Tecoanapa,16.5167,-98.75,74.68,81,25,4.09,MX,1642659529
Hokitika,-42.7167,170.9667,61.95,61,25,9.91,NZ,1642659529
Riverton,40.5219,-111.9391,34.18,85,0,3.0,US,1642659529
Ugoofaaru,5.6667,73.0,81.79,65,60,9.66,MV,1642659530
Ancud,-41.8697,-73.8203,47.73,87,4,4.47,CL,1642659481
Cayenne,4.9333,-52.3333,76.08,91,0,0.0,GF,1642659400
Faya,18.3851,42.4509,61.32,59,12,6.04,SA,1642659531
Severo-Kuril'sk,50.6789,156.125,29.7,92,100,10.49,RU,1642659531
Coihueco,-36.6167,-71.8333,45.46,63,0,2.39,CL,1642659335
Leningradskiy,69.3833,178.4167,-34.91,97,54,4.09,RU,1642659532
San Patricio,28.017,-97.5169,69.89,70,6,25.39,US,1642659443
Shingū,33.7333,135.9833,45.59,46,28,11.99,JP,1642659533
Camacha,33.0833,-16.3333,62.02,68,40,20.71,PT,1642659533
Vågåmo,61.8751,9.0967,19.58,79,88,22.39,NO,1642659533
San Javier,37.8063,-0.8374,46.13,82,75,2.3,ES,1642659534
Kėdainiai,55.2883,23.9747,33.15,97,100,20.78,LT,1642659534
Grand-Lahou,5.1367,-5.0242,73.58,83,2,5.28,CI,1642659535
Yaguarón,-25.6,-57.3,80.55,41,37,6.53,PY,1642659535
Vila do Maio,15.1333,-23.2167,70.59,79,55,14.54,CV,1642659536
Taltal,-25.4,-70.4833,66.31,83,2,2.13,CL,1642659536
Price,39.5994,-110.8107,31.71,64,0,9.22,US,1642659537
Kingisepp,59.3733,28.6134,33.6,92,100,10.85,RU,1642659537
Hwange,-18.3693,26.5019,71.29,73,62,5.19,ZW,1642659537
Sapa,5.1544,120.3241,82.62,70,93,2.3,PH,1642659538
Son La,21.3167,103.9,60.24,88,98,2.01,VN,1642659538
Bucak,37.4592,30.595,26.51,66,3,6.58,TR,1642659539
Skała,50.2305,19.8536,36.05,85,75,16.11,PL,1642659539
Rabat,33.9911,-6.8401,48.04,100,2,3.44,MA,1642659297
Tabas,33.5959,56.9244,50.13,17,0,2.82,IR,1642659540
Grants Pass,42.439,-123.3284,52.9,91,20,0.0,US,1642659540
Weligama,5.9667,80.4167,83.55,64,93,4.32,LK,1642659541
Honjō,36.2333,139.1833,48.34,29,43,14.63,JP,1642659541
Beni Suef,29.0731,31.0979,44.92,63,7,3.51,EG,1642659542
Poum,-20.2333,164.0167,82.22,74,24,10.87,NC,1642659542
La Seyne-sur-Mer,43.0982,5.8847,43.93,70,1,4.0,FR,1642659542
Shimoda,34.6667,138.95,50.11,47,9,12.28,JP,1642659543
Waipawa,-41.4122,175.5153,60.93,64,85,5.48,NZ,1642659543
Katsuura,35.1333,140.3,49.1,52,9,18.43,JP,1642659544
Rūdbār,30.15,62.6,57.65,39,13,2.17,AF,1642659544
Nishihara,26.1842,127.7558,64.06,58,75,13.8,JP,1642659545
Conceição da Barra,-18.5933,-39.7322,74.43,87,0,3.76,BR,1642659545
Pingdu,36.7844,119.9464,31.44,30,0,6.51,CN,1642659546
Andenes,69.3143,16.1194,33.78,69,75,26.46,NO,1642659547
Shalinskoye,55.7228,93.7594,13.17,90,80,1.1,RU,1642659548
Zeerust,-25.5369,26.0751,70.61,74,81,11.54,ZA,1642659548
Vestmannaeyjar,63.4427,-20.2734,43.5,85,100,13.22,IS,1642659549
Cabedelo,-6.9811,-34.8339,74.07,76,17,7.07,BR,1642659549
Ampanihy,-24.7,44.75,78.84,53,26,15.3,MG,1642659433
Uyuni,-20.4597,-66.825,47.26,76,93,11.72,BO,1642659550
Selaphum,16.0299,103.9383,87.1,40,50,2.01,TH,1642659550
Pontianak,-0.0333,109.3333,87.78,62,75,10.36,ID,1642659312
Mahébourg,-20.4081,57.7,88.09,66,75,11.5,MU,1642659551
Abrau-Dyurso,44.69,37.59,24.26,73,98,6.2,RU,1642659551
Gangāwati,15.4333,76.5333,82.53,29,89,4.07,IN,1642659552
Namatanai,-3.6667,152.4333,78.89,85,100,13.31,PG,1642659552
Verkhoyansk,67.5447,133.385,-43.78,99,54,1.14,RU,1642659553
Joinville,-26.3044,-48.8456,79.11,97,71,0.96,BR,1642659553
Olafsvik,64.8945,-23.7142,41.67,93,100,20.2,IS,1642659554
Baghdad,33.3406,44.4009,46.53,53,85,17.94,IQ,1642659327
Port Hardy,50.6996,-127.4199,50.76,93,100,25.32,CA,1642659309
Cervo,43.6702,-7.4101,48.52,77,81,3.18,ES,1642659554
Nísia Floresta,-6.0911,-35.2086,77.38,83,83,5.59,BR,1642659555
Vostok,46.4856,135.8833,-1.1,89,100,4.41,RU,1642659555
Portland,45.5234,-122.6762,54.59,94,100,1.01,US,1642659544
Hirado,33.3597,129.5531,47.35,64,74,22.28,JP,1642659556
Acaraú,-2.8856,-40.12,76.53,87,14,8.16,BR,1642659556
